key	scope	ko	en
footer.partner.keco	common	한국환경공단	KECO
footer.partner.me	common	기후에너지환경부	MCEE
footer.partner.newwindow	common	 (새 창)	 (new window)
footer.partner.wa	common	WA 웹접근성	WA Web Accessibility
footer.partners.aria	common	관련 기관 바로가기	Related organizations
footer.policy.aria	common	약관·정책 바로가기	Policies
footer.policy.cctv	common	영상정보처리기기 운영관리지침	CCTV Operation Guideline
footer.policy.complaint	common	불편민원신고센터	Complaint Center
footer.policy.nospam	common	이메일 무단수집거부	No Email Collection
footer.policy.privacy	common	개인정보처리방침	Privacy Policy
header.fullmenu.aria	common	전체 메뉴	Full menu
header.fullmenu.close.aria	common	전체 메뉴 닫기	Close full menu
header.fullmenu.open.aria	common	전체 메뉴 열기	Open full menu
hm.ai.chip1	home	#차량번호 변경	#Change plate number
hm.ai.chip2	home	#카드분실/재발급	#Lost/reissue card
hm.ai.chip3	home	#자동차 스티커	#Vehicle sticker
hm.ai.chip4	home	#전기차 지원금	#EV subsidy
hm.ai.chip5	home	#모인인증 사용	#Use Moin auth
hm.ai.chipsaria	home	추천 질문	Suggested questions
hm.ai.desc	home	복잡한 정보 검색도 AI와 대화하듯 간편하게 궁금한 내용을 물어보시면, 바로 답변해드립니다.	Skip complex searches—just ask in plain language and get instant answers from our AI.
hm.ai.feat1.d	home	질문 안에서 원하는 것을 찾아내요.	Finds what you need within your question.
hm.ai.feat1.t	home	자연어 필터	Natural-language filter
hm.ai.feat2.d	home	AI가 맥락을 이해하고 분석해요.	AI understands and analyzes context.
hm.ai.feat2.t	home	인공지능 분석	AI analysis
hm.ai.feat3.d	home	빠른 답변을 바로 확인해요.	Get fast answers right away.
hm.ai.feat3.t	home	즉각 결과 노출	Instant results
hm.ai.inputaria	home	AI 검색어 입력	Enter AI search query
hm.ai.ph	home	예: 현대 아이오닉6 보조금 얼마인가요?	e.g., How much subsidy for the Hyundai Ioniq 6?
hm.ai.searcharia	home	검색	Search
hm.ai.tab1	home	AI 맞춤 상담	AI Custom Consult
hm.ai.tab2	home	보조금 큐레이터	Subsidy Curator
hm.ai.tab3	home	장애 대응 안내	Fault Response Guide
hm.ai.title	home	AI 헬프 데스크	AI Help Desk
hm.badge.100	home	100% 지원	100% Supported
hm.badge.50	home	50% 지원	50% Supported
hm.calc.h3	home	보조금 계산	Subsidy Calculation
hm.calc.k.local	home	지방 보조금	Local Subsidy
hm.calc.k.nat	home	국고 보조금	National Subsidy
hm.calc.k.price	home	차량가격	Vehicle Price
hm.calc.k.real	home	실질 구매 가격	Net Purchase Price
hm.calc.lbl.model	home	차종 선택	Select Model
hm.calc.lbl.price	home	차량 가격(만원)	Vehicle Price (×10k KRW)
hm.calc.lbl.region	home	거주 지역	Region
hm.calc.lbl.type	home	차량 유형	Vehicle Type
hm.calc.note	home	※ 위 결과는 참고용이며, 실제 보조금은 지자체별 예산 현황·차량 에너지 효율 등급에 따라 달라질 수 있습니다. 정확한 금액은 관할 지자체에 문의하세요. (데모용 더미 데이터)	* Results are for reference only. Actual subsidies vary by local budget and vehicle energy-efficiency grade. Contact your local government for exact amounts. (Demo dummy data)
hm.calc.p	home	차종과 지역을 선택하면 예상 보조금을 바로 확인할 수 있습니다. 아래 정보를 입력하고 계산 버튼을 누르세요.	Select a model and region to see your estimated subsidy. Enter the details below and press Calculate.
hm.calc.price.unit	home	만원	×10k KRW
hm.calc.resh	home	예상 보조금 결과	Estimated Subsidy Result
hm.calc.run	home	보조금 계산하기	Calculate Subsidy
hm.calc.title	home	구매 보조금 계산기	Purchase Subsidy Calculator
hm.calc.total	home	총 예상 보조금	Total Estimated Subsidy
hm.calc.total.unit	home	만원	M KRW
hm.calc.type.fcev	home	수소 전기차	Hydrogen EV
hm.calc.type.sedan	home	전기 승용(세단)	Electric Passenger (Sedan)
hm.calc.type.suv	home	전기 승용(SUV)	Electric Passenger (SUV)
hm.calc.type.truck	home	전기 화물(트럭)	Electric Cargo (Truck)
hm.cta.1.go	home	신청하기 →	Apply →
hm.cta.1.t	home	공용 완속충전시설 직접신청	Apply for Public Slow Chargers
hm.cta.2.go	home	앱 다운로드 →	Download App →
hm.cta.2.t	home	전기차 충전소 모바일 조회 서비스	EV Charger Mobile Lookup
hm.cta.aria	home	주요 서비스 바로가기	Key service shortcuts
hm.cta.bodyshared	home	공동주택·사업자, 대규모 주차장 등의 소유자 및 운영자시라면 전기차 공용 완속충전시설 설치를 신청할 수 있습니다.	Owners and operators of apartments, businesses, or large parking lots can apply to install public slow EV chargers.
hm.evsvc.1.d	home	충전 회원카드를 온라인으로 신청하고 발급 현황을 확인하세요.	Apply for a charging member card online and track its status.
hm.evsvc.1.t	home	회원카드 발급	Issue Member Card
hm.evsvc.2.d	home	내 차량의 국비·지방비 보조금을 확인하고 신청하세요.	Check national and local subsidies for your vehicle and apply.
hm.evsvc.2.t	home	구매 보조금 조회	Check Purchase Subsidy
hm.evsvc.3.d	home	차종과 지역을 선택하면 예상 보조금을 바로 계산해 드립니다.	Select a model and region to instantly estimate your subsidy.
hm.evsvc.3.t	home	보조금 계산기	Subsidy Calculator
hm.evsvc.4.d	home	내 주변 충전소를 실시간으로 찾고 이용 현황을 확인하세요.	Find nearby stations in real time and check availability.
hm.evsvc.4.t	home	충전소 검색	Find Charging Stations
hm.evsvc.5.d	home	전기차 모델별 가격, 주행거리, 보조금을 한눈에 비교하세요.	Compare EV models by price, range, and subsidy at a glance.
hm.evsvc.5.t	home	차량 비교	Compare Vehicles
hm.evsvc.6.d	home	사업자별 충전 요금을 비교하고 가장 저렴한 곳을 찾으세요.	Compare fees across operators and find the cheapest option.
hm.evsvc.6.t	home	충전 요금 비교	Compare Charging Fees
hm.faq.a1	home	차량 구매계약 후 관할 지자체에 보조금 지원 신청서를 접수하고, 차량 출고·등록을 거치면 제조·수입사가 보조금을 신청·지급받는 순서로 진행됩니다. 지원 대상·금액·세부 절차는 아래에서 확인하세요.	After signing the purchase contract, file a subsidy application with your local government. Once the vehicle is delivered and registered, the manufacturer/importer applies for and receives the subsidy. Check eligibility, amounts, and detailed steps below.
hm.faq.a1.more	home	보조금 지원 대상·신청절차 보기 →	View eligibility & application steps →
hm.faq.a2	home	누리집에서 지킴이 활동을 신청한 뒤 충전기 점검·신고 등 활동 내역을 등록하면 포상금을 받을 수 있습니다. 참여 조건과 신청 방법은 FAQ 지킴이 항목에서 안내합니다.	Apply for the guardian program on the portal, then log activities such as charger inspections and reports to earn rewards. See the guardian FAQ for eligibility and how to apply.
hm.faq.a2.more	home	지킴이 안내 보기 →	View guardian guide →
hm.faq.a3	home	운영 중인 수소충전소의 위치와 실시간 운영 현황은 '충전소 찾기'의 통합 지도에서 지역별로 확인할 수 있습니다. (충전소 수는 운영 상황에 따라 수시로 변동됩니다.)	You can view the locations and live status of operating hydrogen stations by region on the integrated map under "Find Stations." (Station counts change frequently based on operations.)
hm.faq.a3.more	home	충전소 찾기 보기 →	View Find Stations →
hm.faq.a4	home	누리집 '회원카드 발급'에서 온라인으로 신청하거나, 한국자동차환경협회(1661-9408)로 문의해 발급받을 수 있습니다.	Apply online via "Issue Member Card" on the portal, or contact the Korea Automobile Environmental Association (1661-9408).
hm.faq.a4.more	home	회원카드 발급 보기 →	View Issue Member Card →
hm.faq.morearia	home	자주 묻는 질문 더보기	More FAQs
hm.faq.q1	home	전기차 보조금 신청은 어떻게 하나요?	How do I apply for an EV subsidy?
hm.faq.q2	home	민간 사업자 충전기 지킴이 활동은 어떻게 참여할 수 있나요?	How can private operators join the charger guardian program?
hm.faq.q3	home	수소차 충전소는 전국에 몇 개인가요?	How many hydrogen stations are there nationwide?
hm.faq.q4	home	충전카드는 어디서 발급받을 수 있나요?	Where can I get a charging card?
hm.faq.title	home	자주 묻는 질문	FAQ
hm.fee.benefit.head	home	할인 혜택 및 특장점	Discounts & Highlights
hm.fee.bft.cashback	home	앱 첫 충전 캐시백	First-charge app cashback
hm.fee.bft.emart	home	이마트 충전소 15% 할인	15% off at E-mart stations
hm.fee.bft.family	home	가족 계정 10% 할인	10% family-account discount
hm.fee.bft.night	home	심야 할인 10%	10% late-night discount
hm.fee.bft.parking	home	주차비 면제	Free parking
hm.fee.bft.point2	home	급속 포인트 2배 적립	2× fast-charge points
hm.fee.bft.ultra20	home	초급속 전용 kWh당 20원 할인	−20 KRW/kWh for ultra-fast
hm.fee.bft.unlimited	home	월정액 무제한 요금제	Unlimited monthly plan
hm.fee.chip.fast	home	급속특화	Fast focus
hm.fee.chip.lowest	home	최저가	Lowest
hm.fee.chip.ultra	home	초고속 강점	Ultra-fast edge
hm.fee.d.chajevi	home	할인 다양	Various discounts
hm.fee.d.everon	home	환경부 인증	MoE certified
hm.fee.d.power	home	초고속 전문	Ultra-fast specialist
hm.fee.d.soft	home	급속 특화	Fast-charge focus
hm.fee.desc.chajevi	home	할인 다양 · 전국 7,150기	Various discounts · 7,150 nationwide
hm.fee.desc.everon	home	환경부 인증 · 전국 12,340기	MoE certified · 12,340 nationwide
hm.fee.desc.power	home	초고속 전문 · 전국 5,640기	Ultra-fast specialist · 5,640 nationwide
hm.fee.desc.soft	home	급속 특화 · 전국 8,720기	Fast-charge focus · 8,720 nationwide
hm.fee.everon.b1d	home	23:00~09:00 충전 시 kWh당 10% 자동 할인 적용	Automatic 10% per-kWh discount when charging 23:00–09:00
hm.fee.everon.b1t	home	심야할인 10%	10% late-night discount
hm.fee.everon.b2d	home	에버온 앱 최초 충전 시 3,000원 즉시 지급	3,000 KRW instantly on your first charge via the Everon app
hm.fee.everon.b2t	home	앱 첫 충전 캐시백	First-charge app cashback
hm.fee.f.basis	home	요금기준	Price basis
hm.fee.f.basisaria	home	요금기준 선택	Select price basis
hm.fee.f.fast	home	급속 (50km)	Fast (50km)
hm.fee.f.slow	home	완속 (7km)	Slow (7km)
hm.fee.f.type	home	충전유형	Charge type
hm.fee.f.typearia	home	충전유형 선택	Select charge type
hm.fee.f.ultra	home	초급속 (100km+)	Ultra-fast (100km+)
hm.fee.findcta	home	충전소 찾기	Find Stations
hm.fee.lowest	home	최저가	Lowest
hm.fee.member	home	회원가	Member
hm.fee.member.s	home	회원	Member
hm.fee.more	home	충전요금 비교 전체 보기 <span aria-hidden="true">→</span>	View all charging fees <span aria-hidden="true">→</span>
hm.fee.nonmember	home	비회원가	Non-member
hm.fee.nonmember.s	home	비회원	Non-member
hm.fee.perkwh	home	회원가 기준 kWh당	per kWh (member)
hm.fee.roaming	home	로밍가	Roaming
hm.fee.roaming.s	home	로밍	Roaming
hm.fee.tab.card	home	카드비교	Card View
hm.fee.tab.detail	home	상세비교	Detail View
hm.fee.th.member	home	회원가	Member
hm.fee.th.nonmember	home	비회원가	Non-member
hm.fee.th.roaming	home	로밍가	Roaming
hm.fee.th.save	home	절감	Savings
hm.fee.th.type	home	충전유형	Charge type
hm.fee.title	home	충전 요금 비교	Compare Charging Fees
hm.fee.unit	home	(단위: 원)	(unit: KRW)
hm.fee.vs108	home	최저대비 +10.8%	+10.8% vs lowest
hm.fee.vs58	home	최저대비 +5.8%	+5.8% vs lowest
hm.fee.vs93	home	최저대비 +9.3%	+9.3% vs lowest
hm.fee.won	home	원	KRW
hm.hero.kicker	home	무공해차 통합 플랫폼	Zero-Emission Vehicle Platform
hm.hero.sub	home	사용자 유형을 선택하면 맞춤 서비스와 콘텐츠를 바로 확인할 수 있습니다.	Select your user type to instantly see tailored services and content.
hm.hero.title	home	어떤 도움이 필요하신가요?<br>나에게 맞는 <b>서비스</b>를 선택하세요.	How can we help you?<br>Choose the <b>service</b> that's right for you.
hm.maker.hyundai	home	현대	Hyundai
hm.maker.kia	home	기아	Kia
hm.maker.tesla	home	테슬라	Tesla
hm.nav.next	home	다음	Next
hm.nav.pause	home	일시정지	Pause
hm.nav.prev	home	이전	Previous
hm.news.1.d	home	2026년 법인·개인사업자 전기승합차 보급사업 참여 업체 선정 결과를 안내드립니다.	Announcing the selected participants for the 2026 corporate/sole-proprietor electric bus deployment program.
hm.news.1.t	home	2026년 전기자동차 보급사업 참여 업체 선정 결과 안내 공고(민간부분·법인·개인사업자)	Notice: 2026 EV deployment program participant selection results (private sector, corporate, sole proprietors)
hm.news.2.d	home	환경공단 통합누리집 운영 관리에 알려드립니다. 2026.3.5(목)일은 한국환경공단 창립기념일로 휴무임을 알려드립니다.	Portal operations notice: the portal will be closed on Thu, Mar 5, 2026 for the Korea Environment Corporation founding anniversary.
hm.news.2.t	home	한국환경공단 창립기념일 휴무일 안내	Korea Environment Corporation founding-anniversary holiday notice
hm.news.3.d	home	무공해차 통합누리집 시스템에 안내드립니다. 한국환경공단 통합환경정보센터 노후 전산 장비 교체에 따른 ...	Zero-emission vehicle portal system notice regarding legacy equipment replacement at the Integrated Environmental Information Center ...
hm.news.3.t	home	통합환경정보센터 노후 전산 장비 교체에 따른 정보시스템 일시 중단 안내 ('26.2.22)	Temporary system outage for legacy equipment replacement at the Integrated Environmental Information Center (Feb 22, 2026)
hm.news.morearia	home	새소식 더보기	More news
hm.news.tab.all	home	전체	All
hm.news.tab.notice	home	공지사항	Notice
hm.news.tab.press	home	보도자료	Press
hm.news.tab.promo	home	홍보자료	Promotions
hm.news.tag	home	공지사항	Notice
hm.news.title	home	새소식	News
hm.persona.ai	home	AI 헬프데스크	AI Help Desk
hm.persona.aria	home	사용자 유형 바로가기	User type shortcuts
hm.persona.cpo	home	충전기 사업자	Charger Operators
hm.persona.ev	home	전기차 이용자	EV Drivers
hm.persona.first	home	처음 방문자	First-time Visitors
hm.persona.h2	home	수소차 이용자	Hydrogen Drivers
hm.persona.org	home	법인·기관	Corporations & Institutions
hm.quick.ai	home	AI 헬프데스크	AI Help Desk
hm.quick.aria	home	퀵 메뉴 열기	Open quick menu
hm.quick.card	home	회원카드 추가	Add Member Card
hm.region.busan	home	부산광역시	Busan
hm.region.daegu	home	대구광역시	Daegu
hm.region.gangwon	home	강원특별자치도	Gangwon
hm.region.gyeonggi	home	경기도	Gyeonggi-do
hm.region.incheon	home	인천광역시	Incheon
hm.region.jeju	home	제주특별자치도	Jeju
hm.region.jeonnam	home	전라남도	Jeollanam-do
hm.region.seoul	home	서울특별시	Seoul
hm.sec.evsvc	home	전기차 이용자를 위한 서비스	Services for EV Drivers
hm.skip	home	본문 바로가기	Skip to content
hm.stat.budget.n	home	1조 2,400억원	KRW 1.24T
hm.stat.budget.t	home	2026년 예산	2026 Budget
hm.stat.ev.n	home	900만원	KRW 9M
hm.stat.ev.t	home	전기차 최대	EV Max
hm.stat.h2.n	home	3,750만원	KRW 37.5M
hm.stat.h2.t	home	수소차 최대	FCEV Max
hm.stat.period.n	home	연중 상시	Year-round
hm.stat.period.t	home	신청기간	Application Period
hm.sub.title	home	보조금 · 차량 정보	Subsidy & Vehicle Info
hm.ticker.aria	home	실시간 요금·검색어	Live fees & searches
hm.ticker.fast	home	급속	Fast
hm.ticker.kw1	home	2026 전기차 보조금	2026 EV subsidy
hm.ticker.moe	home	환경부	MoE
hm.ticker.today	home	오늘의 충전요금	Today's Charging Fee
hm.ticker.trend	home	실시간 인기검색어	Trending Searches
hm.veh.cta	home	상세 비교	Compare
hm.veh.k.price	home	차량가격	Price
hm.veh.k.range	home	주행거리(1회 충전시)	Range (per charge)
hm.veh.k.sub	home	보조금	Subsidy
hm.veh.price.4900	home	4,900만원	KRW 49M
hm.veh.price.5200	home	5,200만원	KRW 52M
hm.veh.price.5699	home	5,699만원	KRW 57M
hm.veh.sub.max680	home	최대 680만원	Up to KRW 6.8M
home.ai.btn.close	home	닫기	Close
home.ai.btn.close.aria	home	닫기	Close
home.ai.btn.faq	home	FAQ 바로가기	Go to FAQ
home.ai.btn.reset	home	초기화	Reset
home.ai.btn.reset.aria	home	대화 초기화	Reset chat
home.ai.btn.save	home	저장	Save
home.ai.btn.save.aria	home	대화 저장	Save chat
home.ai.float.1.span	home	일상 언어로 편하게 질문하세요	Ask in everyday language
home.ai.float.1.strong	home	자연어 질의	Natural Language
home.ai.float.2.span	home	AI가 맥락을 이해하고 분석합니다	AI understands context and analyzes
home.ai.float.2.strong	home	인공지능 분석	AI Analysis
home.ai.float.3.span	home	페이지 이동 없이 바로 확인	See results without leaving the page
home.ai.float.3.strong	home	즉각 결과 노출	Instant Results
home.ai.flow.aria	home	상담 유형 선택	Select consultation type
home.ai.flow.charge	home	장애 대응 안내	Issue Response
home.ai.flow.personal	home	AI 맞춤 상담	AI Personalized
home.ai.flow.subsidy	home	보조금 큐레이터	Subsidy Curator
home.ai.followup.aria	home	추가 질문 입력	Follow-up question
home.ai.followup.ph	home	이 주제로 더 궁금한 점을 자유롭게 물어보세요	Ask anything more on this topic
home.ai.search.aria	home	AI에게 질문 입력	Ask the AI
home.ai.search.placeholder	home	예: 저공해, 보조금 얼마?, 충전소 위치	e.g., low-emission, how much subsidy?, charger location
home.ai.search.submit	home	검색	Search
home.ai.send.aria	home	전송	Send
home.ai.sub	home	복잡한 정보 검색도 AI와 대화하듯 간편하게.<br>궁금한 내용을 자연어로 물어보시면 바로 답변해드립니다.	Find information by chatting with the AI.<br>Ask in natural language and get instant answers.
home.ai.suggest.label	home	이런 질문도 많이 해요	Frequently asked
home.ai.title	home	AI 헬프 데스크	AI Help Desk
home.ai.turn.unit	home	1회 대화	1 turn
home.card.ai.1.desc	home	사용자 상황 기반 종합 추천 + 카드 문의	Comprehensive recommendations based on your situation
home.card.ai.1.title	home	AI 맞춤 상담	AI Personalized
home.card.ai.2.desc	home	자격·금액·신청 조건을 즉시 확인	Instantly check eligibility, amounts, and conditions
home.card.ai.2.title	home	보조금 큐레이터	Subsidy Curator
home.card.ai.3.desc	home	충전기 고장·시스템 오류 즉시 대응	Immediate response to charger faults and system errors
home.card.ai.3.title	home	장애 대응 안내	Issue Response
home.card.ai.4.desc	home	구글 검색처럼 자유롭게 질문하기	Ask freely, like a search engine
home.card.ai.4.title	home	풀스크린 검색 모드	Full-screen Search
home.card.business.1.desc	home	공용 완속 충전기 직접설치 및 공모 신청	Public slow charger installation or procurement
home.card.business.1.title	home	충전시설 설치 신청	Charger Installation
home.card.business.2.desc	home	민간기업 무공해차 전환 100 프로그램 참여	Corporate ZEV transition program (K-EV100) enrollment
home.card.business.2.title	home	K-EV100 참여 신청	Join K-EV100
home.card.business.3.desc	home	전기승합차·건설기계 보조금 공모 접수	Procurement for electric buses and ZEV construction equipment
home.card.business.3.title	home	전기승합차 공모 신청	Electric Bus Procurement
home.card.business.4.desc	home	무공해차 및 충전기 인증 기준 정보	ZEV and charger certification standards
home.card.business.4.title	home	인증 기준 안내	Certification Standards
home.card.buyer.1.desc	home	3단계 선택으로 예상 보조금 즉시 확인	Estimate your subsidy in three quick steps
home.card.buyer.1.title	home	보조금 계산기(견적)	Subsidy Calculator
home.card.buyer.2.desc	home	지자체별 차종별 보조금 현황 조회	Subsidy status by region and vehicle model
home.card.buyer.2.title	home	지자체별 보조금 현황	Subsidies by Region
home.card.buyer.3.desc	home	가격·주행거리·충전시간 조건별 차종 비교	Compare vehicles by price, range, and charging time
home.card.buyer.3.title	home	차종 비교 도구	Vehicle Comparison Tool
home.card.buyer.4.desc	home	취득세·개소세·교육세 등 세금 혜택 총합	All tax benefits: acquisition, excise, education, and more
home.card.buyer.4.title	home	세제 정보 통합 안내	Tax Benefits Overview
home.card.owner.1.desc	home	GPS 기반 반경 1/5/10km 충전소 검색	GPS-based search within 1/5/10 km radius
home.card.owner.1.title	home	내 주변 충전소	Nearby Chargers
home.card.owner.2.desc	home	충전 사업자별 요금 비교 기능	Compare fees across charging operators
home.card.owner.2.title	home	충전 요금 비교	Compare Charging Fees
home.card.owner.3.desc	home	차량번호 입력으로 저공해 등급 확인	Check your emission grade by license plate
home.card.owner.3.title	home	내 차 저공해 등급 확인	Vehicle Emission Grade
home.card.owner.4.desc	home	출발~도착 경로상 최적 충전소 추천	Optimal chargers along your route
home.card.owner.4.title	home	경로 기반 충전 계획	Route Charging Planner
home.card.owner.5.desc	home	조건별(가격, 주행거리, 충전시간) 차종 비교	Compare by price, range, and charging time
home.card.owner.5.title	home	차종 비교	Vehicle Comparison
home.card.owner.6.desc	home	충전소별 수소차 충전 요금 비교	Compare H2 charging fees by station
home.card.owner.6.title	home	수소차 충전요금 안내	H2 Charging Fees
home.card.owner.7.desc	home	지킴이 활동하고 충전 포인트와 포상금 받으세요!	Help maintain stations and earn points and rewards
home.card.owner.7.title	home	전기차 충전소 지킴이	Charging Station Steward
home.card.owner.8.desc	home	차량번호 입력으로 저공해 등급 확인	Check your emission grade by license plate
home.card.owner.8.title	home	내 차 저공해 등급 확인	Vehicle Emission Grade
home.cta.apply	home	신청하기	Apply
home.cta.lookup	home	조회하기	Look up
home.cta.mobile	home	전기차 충전소 모바일 조회 서비스	Mobile Charging Station Lookup
home.cta.mobile.desc	home	스마트폰에서도 쉽고 간편하게 전기차·수소차 충전소를 조회하실 수 있습니다.	Easily find EV and hydrogen charging stations on your smartphone.
home.cta.slow	home	공용 완속충전시설 직접신청	Apply for Public Slow Charger Installation
home.cta.slow.desc	home	공동주택·사업자·대규모 주차장 등의 소유자 및 운영자시리면<br>전기차 공용 완속충전시설 설치를 신청할 수 있습니다.	Owners and operators of apartments, businesses, and large parking lots<br>can apply for public slow charger installation.
home.dcm.bonus.label	home	추가 인센티브	Additional Incentive
home.dcm.bonus.val	home	100만원	KRW 1M
home.dcm.btn.calc	home	보조금 계산하기	Calculate Subsidy
home.dcm.close.aria	home	닫기	Close
home.dcm.gov.label	home	국고 보조금	National Subsidy
home.dcm.gov.val	home	450만원	KRW 4.5M
home.dcm.lbl.model	home	차종 선택	Vehicle Model
home.dcm.lbl.price	home	차량 가격 (만원)	Vehicle Price (10K KRW)
home.dcm.lbl.region	home	거주 지역	Residence
home.dcm.lbl.type	home	차량 구분	Vehicle Type
home.dcm.local.label	home	지방비 보조금	Regional Subsidy
home.dcm.local.val	home	350만원	KRW 3.5M
home.dcm.note	home	※ 위 결과는 참고용이며, 실제 보조금은 지자체별 예산 현황, 차량 에너지 효율 등급에 따라 달라질 수 있습니다. 정확한 금액은 관할 지자체에 문의하세요.	* Result is for reference. Actual subsidy may vary by regional budget and vehicle energy efficiency grade. Contact your local government for the precise amount.
home.dcm.opt.ev6	home	기아 EV6	Kia EV6
home.dcm.opt.ev9	home	기아 EV9	Kia EV9
home.dcm.opt.h2	home	수소 승용차	FCEV Passenger
home.dcm.opt.ioniq5	home	현대 아이오닉 5	Hyundai IONIQ 5
home.dcm.opt.ioniq6	home	현대 아이오닉 6	Hyundai IONIQ 6
home.dcm.opt.kona	home	현대 코나 EV	Hyundai Kona EV
home.dcm.opt.model3	home	테슬라 모델 3	Tesla Model 3
home.dcm.opt.modely	home	테슬라 모델 Y	Tesla Model Y
home.dcm.opt.motorcycle	home	전기 이륜차	E-Motorbike
home.dcm.opt.nexo	home	현대 넥쏘 (수소)	Hyundai NEXO (H2)
home.dcm.opt.niroev	home	기아 니로 EV	Kia Niro EV
home.dcm.opt.passenger	home	전기 승용차	EV Passenger Car
home.dcm.opt.truck	home	전기 화물차	EV Truck
home.dcm.opt.van	home	전기 승합차	EV Bus
home.dcm.title	home	상세 보조금 계산기	Detailed Subsidy Calculator
home.dcm.total.label	home	총 예상 보조금	Estimated Total Subsidy
home.dcm.total.val	home	900만원	KRW 9M
home.fab.aria	home	보조금 신청 바로가기	Apply for Subsidy
home.hero.headline_sm	home	더 깨끗한 내일로의 이동,<br>지속 가능한 모빌리티 라이프	A cleaner journey forward,<br>Sustainable mobility for life
home.hero.sub	home	사용자 유형을 선택하면 맞춤 서비스와 콘텐츠를 바로 확인할 수 있습니다.	Select a user type to instantly see services and content tailored for you.
home.hero.title	home	<span class="hp-hl">나에게 맞는 서비스</span>를 선택하세요.	Choose <span class="hp-hl">the right service for you</span>.
home.meta.desc	home	전기차·수소차 구매보조금, 세제 정보, 차량 비교, 공모·신청, K-EV100 기업전환까지 한 곳에서 제공합니다.	EV/H2 vehicle subsidies, tax info, vehicle comparison, procurements, and K-EV100 corporate transition — all in one place.
home.mig.faq	home	자주 묻는 질문	FAQ
home.mig.faq.q1	home	전기차 보조금 신청은 어떻게 하나요?	How do I apply for the EV purchase subsidy?
home.mig.faq.q2	home	민간 사업자 충전기 지킴이 활동은 어떻게 참여할 수 있나요?	How do I join the private operator Charging Station Steward program?
home.mig.faq.q3	home	수소차 충전소는 전국에 몇 개인가요?	How many hydrogen charging stations are there nationwide?
home.mig.faq.sub	home	가장 많이 문의되는 질문을 빠르게 확인하세요.	Quickly check the most frequently asked questions.
home.mig.keeper	home	전기차 지킴이 활동	EV Steward Activity
home.mig.keeper.aria	home	지킴이 활동 자세히 보기	See steward activity details
home.mig.keeper.banner.aria	home	전기차 충전소 지킴이 활동 페이지로 이동	Go to the EV Charging Station Steward page
home.mig.keeper.cta	home	참여하기	Join
home.mig.keeper.desc	home	시민과 함께 가꾸는 쾌적한 충전 환경<br><span class="mkb-desc-em">활동마다 포인트가 적립됩니다.</span>	A pleasant charging environment, kept by citizens.<br><span class="mkb-desc-em">Earn points for every activity.</span>
home.mig.keeper.lead	home	함께 지키는<br>깨끗한 충전 환경	Caring together for<br>a cleaner charging environment
home.mig.recent	home	최근 관심 정보	Recent Interests
home.mig.trend.1	home	2026 전기차 보조금	2026 EV Subsidy
home.mig.trend.2	home	아이오닉 5 보조금 얼마	Ioniq 5 Subsidy Amount
home.mig.trend.3	home	내 주변 급속 충전소	Nearby Fast Chargers
home.mig.trend.4	home	수소차 넥쏘 보조금	Nexo H2 Subsidy
home.news.sub	home	무공해차 통합누리집의 다양한 소식을 알려드립니다.	Stay up to date with news from the Zero-Emission Vehicle Portal.
home.news.tab.all	home	전체	All
home.news.tab.notice	home	공지사항	Notices
home.news.tab.press	home	보도자료	Press
home.news.tabs.aria	home	소식 분류	News categories
home.news.title	home	새소식	Latest News
home.persona.ai.badge	home	OPEN	OPEN
home.persona.ai.desc	home	자연어로 질문하면 AI가 맞춤 답변을 제공합니다. 카드를 클릭해 풀스크린 모드로 전환하거나, 아래 콘텐츠에서 상담 유형을 선택하세요.	Ask in natural language and the AI returns tailored answers. Click a card for full-screen mode or pick a flow below.
home.persona.ai.sub	home	AI 상담 큐레이터	AI Curator
home.persona.ai.title	home	AI 헬프데스크	AI Help Desk
home.persona.business.desc	home	충전기 설치 지원, 사업자 등록, K-EV100 참여 신청 등 사업자 전용 서비스를 제공합니다.	Dedicated services for businesses: charger installation, operator registration, and K-EV100 enrollment.
home.persona.business.sub	home	설치신청·공모·현황조회	Install · Procurement · Status
home.persona.business.title	home	충전 사업자·제조사	Charger Operators & Manufacturers
home.persona.buyer.desc	home	보조금 조회부터 차량 비교, 구매 절차까지 무공해차 구매에 필요한 정보를 단계별로 안내합니다.	Step-by-step guidance from subsidy lookup and vehicle comparison to EV purchase procedures.
home.persona.buyer.sub	home	무공해차 알아보기	Learn about EVs
home.persona.buyer.title	home	무공해차 구매 예정자	Prospective EV Buyer
home.persona.hp	home	나에게 맞는 서비스	services tailored to you
home.persona.owner.desc	home	내 주변 충전소 찾기, 충전요금비교, 충전카드 관리 등 차량 운행에 필요한 서비스를 제공합니다.	Find nearby chargers, compare charging fees, manage cards — services for daily EV driving.
home.persona.owner.sub	home	보조금·충전요금·혜택	Subsidy · Fees · Benefits
home.persona.owner.title	home	무공해차 운전자	EV Driver
home.persona.tablist	home	사용자 유형	User type
home.policy.aria	home	정책 링크	Policy links
home.policy.complaint	home	불편민원신고센터	Complaint Center
home.policy.email	home	이메일 무단수집거부	No Unauthorized Email Collection
home.policy.privacy	home	개인정보처리방침	Privacy Policy
home.policy.video	home	영상정보처리기기 운영관리지침	CCTV Operation Guidelines
home.popup.autoplay.aria	home	자동재생 토글	Toggle autoplay
